action_id,report_id,action_type,expected_lift_pct,effort_hours,owner_group,status
ACT001,RPT009,training and documentation,6.0,20,finance analytics,Ready
ACT002,RPT025,metric certification,9.8,25,data strategy,Needs stakeholder input
ACT003,RPT007,refresh performance tuning,6.8,24,reporting services,In progress
ACT004,RPT007,training and documentation,2.7,8,BI delivery,Ready
ACT005,RPT019,refresh performance tuning,12.3,38,governance and training,Ready
ACT006,RPT011,stakeholder requirement clarification,7.8,17,reporting services,Needs stakeholder input
ACT007,RPT019,stakeholder requirement clarification,13.8,2,governance and training,Ready
ACT008,RPT009,refresh performance tuning,7.4,10,customer data operations,In progress
ACT009,RPT007,training and documentation,6.3,34,reporting services,Queued
ACT010,RPT001,stakeholder requirement clarification,2.7,30,reporting services,Needs stakeholder input
ACT011,RPT032,stakeholder requirement clarification,12.9,18,BI delivery,Ready
ACT012,RPT013,metric certification,11.4,36,finance analytics,Queued
ACT013,RPT011,stakeholder requirement clarification,9.4,27,reporting services,Ready
ACT014,RPT025,training and documentation,8.4,20,BI delivery,Queued
ACT015,RPT016,refresh performance tuning,6.8,22,data strategy,In progress
ACT016,RPT021,stakeholder requirement clarification,7.2,10,finance analytics,Ready
ACT017,RPT011,source quality remediation,8.4,26,reporting services,In progress
ACT018,RPT012,refresh performance tuning,2.0,2,finance analytics,Ready
ACT019,RPT024,stakeholder requirement clarification,8.3,9,finance analytics,Ready
ACT020,RPT001,source quality remediation,1.5,23,data strategy,In progress
ACT021,RPT010,stakeholder requirement clarification,13.7,35,governance and training,In progress
ACT022,RPT011,source quality remediation,2.1,14,BI delivery,In progress
ACT023,RPT005,metric certification,13.8,36,BI delivery,In progress
ACT024,RPT011,source quality remediation,4.1,31,customer data operations,In progress
ACT025,RPT011,metric certification,6.1,6,reporting services,Ready
ACT026,RPT004,refresh performance tuning,1.5,10,customer data operations,Queued
ACT027,RPT011,stakeholder requirement clarification,5.4,11,governance and training,In progress
ACT028,RPT014,training and documentation,8.2,17,reporting services,Queued
ACT029,RPT025,source quality remediation,8.5,36,customer data operations,Needs stakeholder input
ACT030,RPT021,training and documentation,9.1,5,finance analytics,Queued
ACT031,RPT015,source quality remediation,6.0,35,finance analytics,Needs stakeholder input
ACT032,RPT030,source quality remediation,12.7,16,reporting services,In progress
ACT033,RPT014,stakeholder requirement clarification,11.7,8,customer data operations,Ready
ACT034,RPT002,training and documentation,5.5,37,customer data operations,Needs stakeholder input
ACT035,RPT014,metric certification,10.2,11,finance analytics,In progress
ACT036,RPT006,training and documentation,10.5,5,governance and training,Needs stakeholder input
ACT037,RPT005,refresh performance tuning,7.4,22,governance and training,Queued
ACT038,RPT003,source quality remediation,7.3,34,finance analytics,Ready
ACT039,RPT018,training and documentation,12.1,36,BI delivery,Ready
ACT040,RPT008,refresh performance tuning,9.3,34,reporting services,Needs stakeholder input
ACT041,RPT020,stakeholder requirement clarification,10.7,19,finance analytics,Needs stakeholder input
ACT042,RPT003,metric certification,8.7,13,customer data operations,Queued
ACT043,RPT026,training and documentation,10.7,3,customer data operations,Queued
ACT044,RPT002,metric certification,8.5,3,reporting services,In progress
ACT045,RPT002,metric certification,8.6,33,reporting services,Queued
ACT046,RPT021,refresh performance tuning,5.5,11,governance and training,Queued
ACT047,RPT022,training and documentation,13.9,25,governance and training,In progress
ACT048,RPT002,stakeholder requirement clarification,4.9,2,BI delivery,Ready
ACT049,RPT022,stakeholder requirement clarification,2.9,15,customer data operations,Queued
ACT050,RPT018,source quality remediation,5.2,20,customer data operations,Ready
ACT051,RPT001,source quality remediation,13.7,24,BI delivery,Ready
ACT052,RPT026,refresh performance tuning,12.8,21,governance and training,Needs stakeholder input
ACT053,RPT028,metric certification,9.3,25,customer data operations,In progress
ACT054,RPT011,training and documentation,8.2,33,reporting services,In progress
ACT055,RPT025,source quality remediation,13.4,5,governance and training,Queued
ACT056,RPT022,refresh performance tuning,3.2,36,finance analytics,Ready
ACT057,RPT007,metric certification,2.0,28,data strategy,Needs stakeholder input
ACT058,RPT030,training and documentation,9.3,7,finance analytics,Ready
ACT059,RPT017,source quality remediation,2.1,11,data strategy,Queued
ACT060,RPT001,training and documentation,11.3,38,customer data operations,Needs stakeholder input
ACT061,RPT030,source quality remediation,4.2,29,finance analytics,Queued
ACT062,RPT031,refresh performance tuning,5.8,30,reporting services,Needs stakeholder input
ACT063,RPT023,source quality remediation,5.6,28,finance analytics,Needs stakeholder input
ACT064,RPT025,stakeholder requirement clarification,6.0,29,customer data operations,Needs stakeholder input
ACT065,RPT031,stakeholder requirement clarification,3.6,27,reporting services,In progress
ACT066,RPT008,source quality remediation,2.1,5,data strategy,Needs stakeholder input
ACT067,RPT023,training and documentation,6.6,18,reporting services,Queued
ACT068,RPT016,training and documentation,7.1,34,reporting services,Queued
ACT069,RPT017,stakeholder requirement clarification,5.1,31,BI delivery,Needs stakeholder input
ACT070,RPT008,training and documentation,6.1,23,governance and training,In progress
ACT071,RPT014,source quality remediation,7.5,29,finance analytics,Needs stakeholder input
ACT072,RPT007,metric certification,8.0,27,governance and training,Ready
ACT073,RPT013,stakeholder requirement clarification,9.6,25,governance and training,Needs stakeholder input
ACT074,RPT021,stakeholder requirement clarification,5.0,13,finance analytics,Ready
ACT075,RPT013,source quality remediation,12.6,11,reporting services,Ready
ACT076,RPT030,refresh performance tuning,10.5,7,finance analytics,Ready
ACT077,RPT007,refresh performance tuning,7.0,31,reporting services,Queued
