event_id,event_date,report_id,event_type,severity,stakeholder_group,estimated_impact,resolution_state,note
EVT0001,2026-01-27,RPT012,lineage ownership update,Medium,bottler finance leads,45229,In review,refresh evidence attached to operating review
EVT0002,2026-01-30,RPT025,performance review,Critical,category management,43335,In review,source owner confirmation needed
EVT0003,2026-03-18,RPT006,quality alert,High,bottler finance leads,49270,Open,metric definition requires clarification
EVT0004,2026-04-12,RPT025,stakeholder training ask,Low,category management,45894,Monitoring,quality exception tied to customer hierarchy mapping
EVT0005,2026-04-29,RPT028,refresh exception,Low,commercial leadership,2504,Resolved,source owner confirmation needed
EVT0006,2026-04-09,RPT016,refresh exception,Medium,commercial leadership,44341,Monitoring,refresh evidence attached to operating review
EVT0007,2026-02-16,RPT031,stakeholder training ask,Low,category management,51959,Monitoring,metric definition requires clarification
EVT0008,2026-02-16,RPT014,lineage ownership update,High,field sales operations,4086,Monitoring,refresh evidence attached to operating review
EVT0009,2026-04-12,RPT026,stakeholder training ask,Critical,field sales operations,1762,Resolved,training material should be refreshed
EVT0010,2026-03-28,RPT002,performance review,Low,field sales operations,43707,Open,training material should be refreshed
EVT0011,2026-04-16,RPT004,lineage ownership update,Low,commercial leadership,37139,In review,source owner confirmation needed
EVT0012,2026-04-10,RPT027,lineage ownership update,Medium,supply planning,24839,Open,quality exception tied to customer hierarchy mapping
EVT0013,2026-03-05,RPT003,definition question,Critical,supply planning,20532,Resolved,source owner confirmation needed
EVT0014,2026-04-29,RPT019,refresh exception,Medium,category management,18321,In review,refresh evidence attached to operating review
EVT0015,2026-03-11,RPT005,refresh exception,High,national customer team,2042,In review,quality exception tied to customer hierarchy mapping
EVT0016,2026-03-17,RPT003,stakeholder training ask,Low,supply planning,39293,Open,quality exception tied to customer hierarchy mapping
EVT0017,2026-04-24,RPT008,definition question,Medium,field sales operations,28270,Monitoring,quality exception tied to customer hierarchy mapping
EVT0018,2026-04-08,RPT017,refresh exception,Medium,national customer team,9977,Open,refresh evidence attached to operating review
EVT0019,2026-02-24,RPT029,lineage ownership update,Low,national customer team,8992,Monitoring,refresh evidence attached to operating review
EVT0020,2026-03-03,RPT029,definition question,Low,national customer team,46623,Open,training material should be refreshed
EVT0021,2026-05-05,RPT013,stakeholder training ask,High,category management,43253,In review,source owner confirmation needed
EVT0022,2026-05-04,RPT022,stakeholder training ask,High,commercial leadership,43446,In review,metric definition requires clarification
EVT0023,2026-01-26,RPT021,performance review,Medium,supply planning,37831,Monitoring,source owner confirmation needed
EVT0024,2026-04-04,RPT013,refresh exception,Medium,category management,29020,Monitoring,training material should be refreshed
EVT0025,2026-03-17,RPT028,definition question,Critical,commercial leadership,32131,Resolved,metric definition requires clarification
EVT0026,2026-01-29,RPT021,definition question,Medium,supply planning,18154,Monitoring,training material should be refreshed
EVT0027,2026-04-06,RPT013,quality alert,Critical,category management,1268,Open,metric definition requires clarification
EVT0028,2026-03-19,RPT004,lineage ownership update,Low,commercial leadership,51174,Open,metric definition requires clarification
EVT0029,2026-03-30,RPT032,refresh exception,Low,field sales operations,8780,Open,metric definition requires clarification
EVT0030,2026-05-02,RPT010,refresh exception,Medium,commercial leadership,16884,Resolved,source owner confirmation needed
EVT0031,2026-01-21,RPT026,lineage ownership update,Low,field sales operations,39001,Monitoring,training material should be refreshed
EVT0032,2026-04-20,RPT032,lineage ownership update,High,field sales operations,8656,Monitoring,refresh evidence attached to operating review
EVT0033,2026-04-02,RPT006,refresh exception,Critical,bottler finance leads,27168,Resolved,training material should be refreshed
EVT0034,2026-05-14,RPT018,lineage ownership update,Low,bottler finance leads,19595,In review,quality exception tied to customer hierarchy mapping
EVT0035,2026-04-25,RPT019,performance review,Critical,category management,48223,Open,refresh evidence attached to operating review
EVT0036,2026-02-05,RPT010,performance review,Medium,commercial leadership,31755,Monitoring,metric definition requires clarification
EVT0037,2026-02-02,RPT028,refresh exception,High,commercial leadership,18800,Open,metric definition requires clarification
EVT0038,2026-01-22,RPT025,performance review,Medium,category management,35489,Resolved,refresh evidence attached to operating review
EVT0039,2026-04-22,RPT023,definition question,Medium,national customer team,7165,Resolved,refresh evidence attached to operating review
EVT0040,2026-05-15,RPT026,definition question,Medium,field sales operations,13781,Monitoring,training material should be refreshed
EVT0041,2026-02-13,RPT023,lineage ownership update,Low,national customer team,36080,Open,metric definition requires clarification
EVT0042,2026-03-30,RPT015,definition question,Critical,supply planning,28110,Open,training material should be refreshed
EVT0043,2026-02-21,RPT020,quality alert,Medium,field sales operations,45084,Monitoring,metric definition requires clarification
EVT0044,2026-04-28,RPT025,performance review,Low,category management,41863,Open,quality exception tied to customer hierarchy mapping
EVT0045,2026-03-17,RPT022,definition question,Medium,commercial leadership,52181,Monitoring,quality exception tied to customer hierarchy mapping
EVT0046,2026-03-17,RPT020,stakeholder training ask,Medium,field sales operations,8060,In review,training material should be refreshed
EVT0047,2026-04-20,RPT012,lineage ownership update,Low,bottler finance leads,2053,In review,training material should be refreshed
EVT0048,2026-04-12,RPT011,stakeholder training ask,High,national customer team,11493,In review,training material should be refreshed
EVT0049,2026-04-22,RPT026,performance review,Low,field sales operations,21997,Open,metric definition requires clarification
