report_id,report_name,domain,audience,owner_group,workspace,priority_score,adoption_rate,avg_quality_score,refresh_sla_misses,failed_quality_checks,urgent_requests,stale_docs,critical_lineage_exceptions,decision_value,recommended_lane,next_action
RPT002,Bottler Invoice Reconciliation,Retailer POS,field sales operations,finance analytics,Bottler Finance,100.0,0.588,90.7,26,3,2,0,1,81000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT005,Customer Hierarchy Health,Customer Hierarchy,national customer team,data strategy,Commercial Insights,100.0,0.533,84.5,18,1,3,1,2,126000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT009,Pricing Exception Digest,Bottler Invoice,supply planning,governance and training,Reporting Services,100.0,0.66,97.1,19,0,3,2,3,113000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT010,Customer Onboarding Readiness,Distributor Data,commercial leadership,BI delivery,Commercial Insights,100.0,0.573,84.9,20,1,4,2,2,171000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT014,Invoice Adjustment Explorer,Retailer POS,field sales operations,finance analytics,Reporting Services,100.0,0.409,84.0,17,1,3,1,1,71000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT016,Bottler Performance Summary,Distributor Data,commercial leadership,BI delivery,Customer Operations,100.0,0.524,94.9,17,3,4,2,0,198000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT018,Executive KPI Overview,FP&A Planning,bottler finance leads,reporting services,Planning and Forecasting,100.0,0.452,93.4,26,1,4,2,0,95000,Remediate before scale,Refresh documentation and certify metric definitions
RPT022,Funding Claim Audit,Distributor Data,commercial leadership,BI delivery,Bottler Finance,100.0,0.518,87.9,28,0,3,2,1,184000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT023,Planning Assumption Tracker,Customer Hierarchy,national customer team,data strategy,Planning and Forecasting,100.0,0.517,88.9,20,1,1,2,0,137000,Remediate before scale,Refresh documentation and certify metric definitions
RPT027,Metric Definition Catalog,Bottler Invoice,supply planning,governance and training,Bottler Finance,100.0,0.506,96.1,27,0,5,2,1,134000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT024,Data Stewardship Queue,FP&A Planning,bottler finance leads,reporting services,Reporting Services,98.8,0.399,96.9,13,1,3,2,3,69000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT032,External Reporting Package,Retailer POS,field sales operations,finance analytics,Bottler Finance,97.9,0.528,90.5,19,2,3,1,0,176000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT013,Monthly Business Review Pack,Customer Programs,category management,customer data operations,Planning and Forecasting,96.9,0.674,86.9,21,0,3,2,0,138000,Remediate before scale,Refresh documentation and certify metric definitions
RPT029,Churn and Penetration Monitor,Customer Hierarchy,national customer team,data strategy,Reporting Services,96.8,0.646,87.2,22,0,3,2,0,111000,Remediate before scale,Refresh documentation and certify metric definitions
RPT019,Channel Penetration Trends,Customer Programs,category management,customer data operations,Reporting Services,96.6,0.555,96.2,18,0,2,2,2,119000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT006,Distributor Volume Bridge,FP&A Planning,bottler finance leads,reporting services,Customer Operations,96.4,0.412,88.1,19,1,0,2,1,79000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT007,Forecast Variance Review,Customer Programs,category management,customer data operations,Bottler Finance,96.0,0.473,97.5,19,2,2,2,0,172000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT025,Power BI Usage and Training,Customer Programs,category management,customer data operations,Commercial Insights,93.1,0.45,90.2,22,1,3,1,1,191000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT011,Promotion Compliance View,Customer Hierarchy,national customer team,data strategy,Customer Operations,92.0,0.557,91.1,13,1,3,2,1,123000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT020,Stakeholder Request Backlog,Retailer POS,field sales operations,finance analytics,Commercial Insights,90.6,0.665,82.4,25,0,1,2,0,142000,Remediate before scale,Refresh documentation and certify metric definitions
RPT001,National Customer Scorecard,Customer Programs,category management,customer data operations,Customer Operations,90.4,0.486,87.9,23,0,2,2,0,83000,Remediate before scale,Refresh documentation and certify metric definitions
RPT008,Outlet Segmentation Monitor,Retailer POS,field sales operations,finance analytics,Planning and Forecasting,87.3,0.648,93.0,20,1,2,2,1,213000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT021,Store Count Reconciliation,Bottler Invoice,supply planning,governance and training,Customer Operations,85.7,0.556,93.3,23,1,2,1,1,239000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT015,Retailer Data Quality Pulse,Bottler Invoice,supply planning,governance and training,Commercial Insights,84.7,0.407,89.3,16,0,0,1,1,219000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT028,Variance Contribution Workbench,Distributor Data,commercial leadership,BI delivery,Planning and Forecasting,80.3,0.435,89.1,18,1,1,1,0,118000,Remediate before scale,Refresh documentation and certify metric definitions
RPT031,Sales Team Service Desk,Customer Programs,category management,customer data operations,Customer Operations,80.2,0.69,82.3,24,1,1,1,0,226000,Remediate before scale,Refresh documentation and certify metric definitions
RPT030,Change Contribution Review,FP&A Planning,bottler finance leads,reporting services,Commercial Insights,77.8,0.598,87.9,22,0,1,2,0,72000,Remediate before scale,Refresh documentation and certify metric definitions
RPT003,Retailer POS Sell-Through,Bottler Invoice,supply planning,governance and training,Planning and Forecasting,76.6,0.505,96.6,20,1,1,1,0,114000,Remediate before scale,Refresh documentation and certify metric definitions
RPT026,Source Refresh Reliability,Retailer POS,field sales operations,finance analytics,Customer Operations,76.6,0.641,92.2,18,0,1,2,1,190000,Remediate before scale,Investigate data quality and source lineage before next stakeholder release
RPT004,Trade Program Funding Tracker,Distributor Data,commercial leadership,BI delivery,Reporting Services,76.0,0.564,90.7,16,0,2,2,0,169000,Remediate before scale,Refresh documentation and certify metric definitions
RPT012,Route-to-Market Snapshot,FP&A Planning,bottler finance leads,reporting services,Bottler Finance,74.6,0.598,87.7,17,1,1,1,0,173000,Remediate before scale,Refresh documentation and certify metric definitions
RPT017,Program Accrual Watchlist,Customer Hierarchy,national customer team,data strategy,Bottler Finance,62.1,0.681,94.3,19,0,1,0,1,90000,Validate with stakeholders,Investigate data quality and source lineage before next stakeholder release
